,artist_name,track_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,YEAR,mode2
117,Bullet For My Valentine,Your Betrayal,1,0.569,0.883,2,-4.41,0,0.0747,8.070000000000001e-05,7.74e-05,0.0883,0.373,134.003,291427,4,2010,minor
118,Diddy - Dirty Money,Coming Home,1,0.392,0.8390000000000001,7,-1.921,1,0.193,0.158,0.0,0.3,0.23199999999999998,168.00099999999995,238693,4,2010,major
119,The Naked And Famous,Young Blood,1,0.579,0.865,6,-4.692,1,0.0302,5.6299999999999986e-05,0.000221,0.649,0.358,104.99,246600,4,2010,major
120,Clay Walker,She Won't Be Lonely Long,1,0.635,0.758,7,-5.772,1,0.0243,0.00643,0.0,0.22899999999999998,0.322,113.00200000000001,209253,4,2010,major
121,Kanye West,Dark Fantasy,1,0.59,0.5870000000000001,5,-5.919,1,0.0457,0.27399999999999997,0.0,0.16699999999999998,0.3670000000000001,88.015,280787,4,2010,major
122,Enrique Iglesias,I Like It,1,0.6459999999999999,0.94,10,-2.8560000000000003,0,0.0838,0.0209,0.0,0.0691,0.7040000000000001,129.011,231787,4,2010,minor
123,Get Scared,Sarcasm,1,0.387,0.929,7,-4.825,0,0.161,0.00238,7.22e-06,0.314,0.591,180.359,198080,4,2010,minor
124,Drake,Up All Night,1,0.606,0.8109999999999999,7,-4.667,1,0.278,0.00782,1.49e-05,0.349,0.276,156.347,234333,4,2010,major
125,Taylor Swift,Mine,1,0.624,0.757,7,-2.94,1,0.0296,0.00265,1.87e-06,0.18899999999999997,0.6579999999999999,121.07,230707,4,2010,major
126,Waka Flocka Flame,Grove St. Party (feat. Kebo Gotti),1,0.705,0.7020000000000001,0,-4.783,0,0.10800000000000001,0.138,0.0,0.364,0.7709999999999999,140.059,250493,4,2010,minor
127,Kid Cudi,Marijuana,1,0.672,0.40299999999999997,8,-9.809,0,0.0273,0.8290000000000001,0.823,0.272,0.54,140.97799999999995,260200,4,2010,minor
128,LCD Soundsystem,Dance Yrself Clean,1,0.7390000000000001,0.611,11,-9.829,1,0.0622,0.00557,0.725,0.04,0.794,98.00399999999999,536471,4,2010,major
129,Kavinsky,Nightcall,1,0.532,0.8740000000000001,9,-5.183,0,0.0482,0.00842,0.012,0.452,0.361,91.038,258413,4,2010,minor
130,Jason Aldean,Fly Over States,1,0.48700000000000004,0.736,7,-3.2689999999999997,1,0.0326,0.069,0.0,0.114,0.184,81.587,218200,4,2010,major
131,Jason Aldean,Don't You Wanna Stay (with Kelly Clarkson),1,0.445,0.631,11,-4.798,1,0.0304,0.129,0.0,0.0911,0.152,143.846,256440,4,2010,major
132,Cody Jinks,Somewhere in the Middle,1,0.589,0.54,10,-5.056,1,0.0227,0.203,0.0,0.0819,0.36,83.98100000000002,300493,3,2010,major
133,Katy Perry,The One That Got Away,1,0.691,0.795,1,-4.021,0,0.0355,0.0008119999999999999,1.02e-06,0.156,0.8759999999999999,133.971,227333,4,2010,minor
134,Los Alegres de la Sierra,De Rodillas Te Pido,1,0.644,0.509,7,-6.805,1,0.031,0.22,0.0,0.0772,0.8959999999999999,114.76899999999999,216000,4,2010,major
135,Disturbed,Down with the Sickness,1,0.649,0.8959999999999999,10,-2.7039999999999997,0,0.055999999999999994,0.000319,1.1900000000000001e-05,0.102,0.924,90.009,278707,4,2010,minor
136,Sara Bareilles,King of Anything,1,0.6759999999999999,0.762,1,-4.172,1,0.0351,0.461,0.0,0.0574,0.81,119.00299999999999,207493,4,2010,major
137,Katy Perry,Firework,1,0.638,0.8320000000000001,8,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071,227893,4,2010,major
138,Kenny Chesney,Somewhere With You,1,0.68,0.8490000000000001,1,-6.475,0,0.0376,0.0862,0.00013000000000000002,0.174,0.536,111.969,243520,4,2010,minor
139,Broken Bells,The High Road,1,0.61,0.637,0,-6.574,1,0.0238,0.0682,6.12e-06,0.284,0.609,79.955,232200,4,2010,major
140,Billy Currington,Let Me Down Easy,1,0.606,0.4970000000000001,1,-5.005,1,0.0278,0.361,0.0,0.106,0.18,125.059,228493,4,2010,major
141,CeeLo Green,Forget You,1,0.696,0.875,0,-3.682,1,0.0649,0.134,0.0,0.159,0.772,127.39,222733,4,2010,major
142,Chris Tomlin,Our God,1,0.509,0.778,11,-3.608,1,0.0295,0.00998,0.0,0.19,0.21600000000000005,105.066,285160,4,2010,major
143,Black Eyed Peas,Just Can’t Get Enough,1,0.659,0.628,0,-8.685,0,0.179,0.18600000000000005,0.0,0.105,0.262,94.05,219427,4,2010,minor
144,Ellie Goulding,Lights - Single Version,1,0.6829999999999999,0.789,8,-6.1320000000000014,0,0.0353,0.0283,0.0492,0.11199999999999999,0.809,120.01299999999999,211800,4,2010,minor
145,Justin Bieber,Somebody To Love,1,0.7140000000000001,0.8340000000000001,5,-5.239,1,0.0259,0.00248,0.0,0.298,0.652,129.971,220920,4,2010,major
146,Godsmack,Love-Hate-Sex-Pain,1,0.215,0.9109999999999999,9,-4.715,1,0.0394,6.07e-05,3.47e-06,0.183,0.47,183.535,315453,4,2010,major
147,Kesha,Blow,1,0.753,0.7290000000000001,11,-3.862,0,0.0392,0.0033399999999999997,5.660000000000003e-05,0.073,0.812,120.01299999999999,219973,4,2010,minor
148,Lipps Inc.,Funky Town,1,0.9059999999999999,0.63,0,-8.071,1,0.0575,0.000547,0.616,0.0994,0.342,122.458,239253,4,2010,major
149,Alan Jackson,Remember When,1,0.5579999999999999,0.314,2,-10.623,1,0.0295,0.7090000000000001,0.000319,0.193,0.267,125.59,271280,4,2010,major
150,Avenged Sevenfold,Welcome to the Family,1,0.5670000000000001,0.946,2,-3.9730000000000003,0,0.0935,0.00267,0.0,0.0567,0.6990000000000001,94.985,245573,4,2010,minor
151,Brantley Gilbert,Country Must Be Country Wide,1,0.409,0.765,11,-5.6960000000000015,1,0.0412,0.0249,6.16e-06,0.10400000000000001,0.5,83.09299999999998,214827,4,2010,major
152,Billy Currington,Pretty Good At Drinkin' Beer,1,0.769,0.6779999999999999,5,-3.725,1,0.0315,0.4270000000000001,8.04e-06,0.0939,0.581,106.95100000000001,179907,4,2010,major
153,Taylor Swift,Back To December,1,0.529,0.67,2,-4.663,1,0.0303,0.11699999999999999,0.0,0.33399999999999996,0.28600000000000003,141.893,293027,4,2010,major
154,Miguel,All I Want Is You (feat. J. Cole),1,0.7759999999999999,0.603,5,-5.6960000000000015,1,0.0343,0.0728,6.25e-05,0.111,0.9209999999999999,96.88799999999999,295920,4,2010,major
155,Mac Miller,Nike's on My Feet,1,0.823,0.43799999999999994,9,-8.728,0,0.27899999999999997,0.537,0.0,0.105,0.59,92.04700000000001,164411,4,2010,minor
156,Two Door Cinema Club,Something Good Can Work,1,0.648,0.833,0,-5.3210000000000015,1,0.0327,0.00583,0.000787,0.17800000000000002,0.64,119.935,164187,4,2010,major
157,Arcade Fire,The Suburbs,1,0.616,0.682,6,-6.148,0,0.0265,0.0578,0.0241,0.342,0.528,117.78,315200,4,2010,minor
158,3OH!3,My First Kiss (feat. Ke$ha),1,0.682,0.889,0,-4.166,1,0.0804,0.00564,0.0,0.36,0.8270000000000001,138.02100000000002,192440,4,2010,major
159,Drake,Find Your Love,1,0.627,0.614,6,-6.006,0,0.17,0.0211,0.0,0.0286,0.758,96.038,208947,4,2010,minor
